Country,Year,Total_km,TFC_PJ_IEA
South Africa,2019,750000,2610.762792
South Africa,2020,750000,2436.875555
South Africa,2021,750000,2491.952809
South Africa,2022,750042,2504.44385
South Africa,2023,767608,2540.2344
Sri Lanka,2018,31158,
Sri Lanka,2019,31246,
Sri Lanka,2020,31300,
Sri Lanka,2021,31385.26,
Sri Lanka,2022,31394,
Sri Lanka,2023,31607,
St. Helena,2021,138,
Suriname,2018,4218,
Suriname,2019,4306,
Suriname,2020,4912,
Suriname,2021,4931,
Suriname,2022,4932,
Switzerland,2018,71555,761.84716
Switzerland,2019,71558,760.768653
Switzerland,2020,83274,721.123743
Switzerland,2021,84114,759.836311
Switzerland,2022,84892,703.365293
Switzerland,2023,85009,690.258808
Tajikistan,2018,26035.4,
Tajikistan,2019,24665,
Tajikistan,2020,26283.7,
Tajikistan,2021,26283.7,
Tajikistan,2022,26632.4,
Tajikistan,2023,26666.3,
Tanzania,2021,180790.7,
Thailand,2018,701847.12,4246.125524
Thailand,2019,702210.23,4333.50955
Thailand,2020,702576.55,4112.144244
Thailand,2021,702723.2,3982.066116
Thailand,2022,702970.1,4136.957038
Thailand,2023,703594.2,4130.999665
Tunisia,2018,19714.26,
Tunisia,2019,19767.76,
Tunisia,2020,19782.09,
Tunisia,2021,19835.09,
Tunisia,2022,19963,
Türkiye,2018,247553,4314.189268
Türkiye,2019,250731,4370.739664
Türkiye,2020,256328,4503.788883
Türkiye,2021,257345,4819.975684
Türkiye,2022,259072,4723.782242
Türkiye,2023,261156,4840.82447
Ukraine,2018,161923.5,2152.339007
Ukraine,2019,161912.4,2079.36253
Ukraine,2020,162152.2,2000.162049
Ukraine,2021,161833.2,2057.587683
Ukraine,2022,162198.8,1365.886953
Ukraine,2023,162308.3,1397.026324
United Arab Emirates,2018,72915,
United Arab Emirates,2019,79259,
United Arab Emirates,2020,84025,
United Arab Emirates,2021,86790,
United Arab Emirates,2022,87223.38,
United Arab Emirates,2023,90432,
United Kingdom,2018,397021,5336.139528
United Kingdom,2019,397596,5250.653047
United Kingdom,2020,398359,4806.370539
United Kingdom,2021,398839,4986.779931
United Kingdom,2022,394487,4720.112713
United Kingdom,2023,395455,4592.465265
United States,2018,6696159.09,66568.318613
United States,2019,6638329,66044.315179
United States,2020,6645582.07,60702.067537
Uruguay,2018,8728.66,
Uruguay,2019,8739.93,
Uruguay,2020,8732.45,
Uruguay,2021,8800,
Uruguay,2022,8833,
Uruguay,2023,8833,
Uzbekistan,2018,42695,
Uzbekistan,2019,42695,
Uzbekistan,2020,42867,
Uzbekistan,2021,42869,
Uzbekistan,2022,42869,
Uzbekistan,2023,42869,
Vanuatu,2018,2039,
Vietnam,2018,387653.5,
Zambia,2020,67305,
Zambia,2021,67305,
Zambia,2022,67671,
Zambia,2023,67671,
